Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
25;25;7.0;0.0677;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Yes I see that. Your app says the incoming flight arrives at 10:05 so how are we going to take off at 10:10? https://t.co/vZxyxOa1xo;Thats the most current info, but if there is any further update our gate team will provide it as it becomes available.
26;26;4.0;0.0833;delay, hour, miss, late, connection, suck, flight, policy, refund, water;"what’s going on with flight 301 DTW &gt; DFW? Delayed over 3 hours. Will it be canceled?";Looks like it has a maintenance delay and its currently scheduled to take off at 10:10p.
27;27;17.0;0.0867;time, bad, service, experience, response, home, understand, month, guy, reason;I have flown 15 times in the past 12 months and only departed on schedule 4 times.;Our crew is there to serve you and not deceive you in any way. Were also here to help so please share your flight details via DMs.
28;28;18.0;0.0795;issue, holiday, family, happen, fix, due, card, end, contact, first_class;"Not only has my family, and several other families been inconvenienced by today - this is now 16 flights in one year with only 5 ""on time"" departures.";Our offer still stands to assist, Andrew.
29;29;14.0;0.1314;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;"stuck on flight 609 in Charlotte over 55 minutes due to a computer card tech issue while pilot repeatedly advised it would only take a ""few minutes"" to fix. Why wasnt this issue reported by previous pilot that arrived minutes b4 we boarded in effort to save time?";Were sorry for the delay. The previous pilot may not have been aware of the problem. We appreciate your patience.
30;30;10.0;0.1102;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I was forced to check my small suitcase. Never happened before. There was plenty of storage space too. Fml;Please DM your record locator, wed like to forward this feedback.
31;31;10.0;0.0798;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Give me and the 50,000 other people our bags #travelwoes #longestday;Were sorry for the extended travel time today, Ally. Our team is working hard to reunite you with your bags.
32;32;6.0;0.0776;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;The audacity of 1416 landing early tonight. I might have to negotiate a shared ride cause there’s no taxis. #Talesfromthetaxi;We see youre arriving just a few minutes early, were always working to get you to your destination as soon as possible.
33;33;1.0;0.1375;cancel, airline, trip, expect, return, buy, chance, full, price, include;I had to end my trip way sooner than expected. :( Bought a new flight because it was way cheaper than changing my return. What do I need to do to cancel my return so someone can have that seat?;Hi, Matt, weve your info but wed like to verify which trip youd like to cancel. Please DM your record locator with the unwanted return.
34;34;7.0;0.0685;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Thank you for being responsive and helpful and more than making up for a bad flight! #stayingloyal ;Thanks for your loyalty! It means the world to us.
35;35;18.0;0.0989;issue, holiday, family, happen, fix, due, card, end, contact, first_class;if I have the platinum select aadvantage card and I purchased an int’l ticket through your site but it ended up being on British Air, will I still retain the same benefits of my aadvantage card on this flight (I.e, early boarding)?;You wouldnt get those perks on BA, Martin.
36;36;8.0;0.1193;https, today, fly, home, guess, aa, awesome, treat, part, joke;Let’s see if your social media team will respond here, as they obviously overlook negative feedback on Facebook. #AmericanAirlines #NoResponse https://t.co/dzWB2HPGDQ;Our sincere apologies for any last minute gate changes, we know thats not fun. Please let us know if we can help here.
37;37;8.0;0.066;https, today, fly, home, guess, aa, awesome, treat, part, joke;Exactly as seen on our flight. #GetSomeRealPoliciesAndEnforceThem https://t.co/A7nkJqqQ7S;We apologize for the inconvenience. Travelers submit their paperwork to us, but arent required to show it to everyone on board.
38;38;8.0;0.0923;https, today, fly, home, guess, aa, awesome, treat, part, joke;thanks for awesome flight home #Dreamliner https://t.co/ArQkp3oZh2;She sure is a gorgeous bird!
39;39;8.0;0.0673;https, today, fly, home, guess, aa, awesome, treat, part, joke;FEELS https://t.co/C11gLTRJ4f;#ALLLLLTheFeelz
40;40;5.0;0.0825;aa, give, pilot, plan, option, food, answer, schedule, offer, small;You’re missing my point. Numerous people tripped over the dog, not to mention anyone who might have been allergic. When did you change your policy to allow any size dog into cabins for any/no reason?;Any dogs you see outside of a kennel are either service or emotional support animals.
41;41;10.0;0.0855;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I love dogs but they don’t belong in #airplane #cabins. It was bad enough when anyone could say they had a #therapypet. I can’t keep my small bag in the #bulkhead row but the woman next to me can have her 40lb dog?;Were sorry for the inconvenience, Nick. Did you ask a crew member if you could move to another seat?
42;42;16.0;0.0965;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;When I email I get the best customer service. Why the people on the phone arent enabled to do the same just baffles me.;Our service should be consistent all across the board, Stuart. So sorry if you experienced otherwise.
43;43;12.0;0.1065;make, change, customer, hope, thing, fee, dm, line, cool, night;It’s fine. The people on line handled fantastic. I would just hope that all are empowered to make decisions to help the customer.;Were glad that our team was able to help, but we appreciate this feedback.
44;44;1.0;0.0636;cancel, airline, trip, expect, return, buy, chance, full, price, include;Anyone who needs to book a flight for our wedding: DO IT NOW! Round trip only $85 with 💍✈️;Congrats on getting married! Were looking forward to having lots of excited wedding guests. Thats a fantastic deal!
45;45;10.0;0.0861;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Charging me $50 dollars to bring in a gift bag today was uncalled for. I can fly with anyone. I’m done just throwing money away.;It sounds like you had a Basic Economy ticket. Youre only able to have one personal item underneath the seat when you have this ticket type
46;46;16.0;0.1066;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;just sent me an email giving me 20k miles for a flight delay I complained about on Twitter. Nice job, my friends.;Were glad that our team was able to help. Have a fantastic evening!
47;47;15.0;0.0778;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;"LAS - PHL 734 1135am not 1 smile between the whole crew &amp; your terminal for PHL-DUB flight is awful!";We have some of the best crew in the business and want you to know that were glad to have you fly with us today. #smilesfromustoyou!
48;48;11.0;0.0718;flight, great, staff, terrible, destination, entire, completely, locator, question, list;#greed comes to mind every time I fly with you. I am considering switching to even if it means longer flights as they rock!;We try to upgrade as much as possible and will continue to do that. Our apologies that you havent got upgraded as much as youd like, Wael.
49;49;1.0;0.091;cancel, airline, trip, expect, return, buy, chance, full, price, include;Typical empty answers. I wasnt expecting a resolution but you may want to be careful as you will allienate your customers along the way.;Were truly sorry this has been your experience with us, as we always try to truly hear our customer feedback. We hope you remain loyal.
50;50;16.0;0.0789;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;I am an frequent flyer and I can attest that they suck The Best Frequent Flyer Programs to Strive For https://t.co/5hMhrGuYvJ;We never want you to feel this way, and appreciate the feedback you provide!
51;51;7.0;0.0778;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Was my wife/mom. We couldnt believe it! Then she proceeded to try to tell us how to parent our children. Our children, 6 and 4 were perfect;Our sincere apologies for any rudeness. We welcome all families to fly with us and want this to be an exciting experience for your kids.
52;52;7.0;0.0804;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Interacted with one of the rudest flight attendants on flight 1305 from ORD to SLC. Be patient, shes only 4. #flydeltainstead;Oh my, wed like to have more details about what happened. We always expect our team to treat our customers courteously and friendly.
53;53;10.0;0.0778;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I bought a carry on luggage that 24×14×9+2.5 EXP. What does the 2.5 EXP STAND FOR on my luggage? Will check in charge me 25?;Your carry-on bag is oversized by the dimensions you gave us. There will be a charge since youll have to check it. https://t.co/AqqDo7qAE3.
54;54;1.0;0.0673;cancel, airline, trip, expect, return, buy, chance, full, price, include;Will it be complimentary or charged the 25$ or however much it Is?;Youll get charged just like a normal checked bag and the charge amount depends on your ticket. Please DM your record locator so we can see.
55;55;5.0;0.0859;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Kudos to the pilot that had the smoothest landing I’ve experienced;That’s #fAAntastic to hear how smooth our pilot’s landing was. Please DM your record locator and we’ll properly recognize our crew. #AATeam
56;56;16.0;0.0738;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;might be a good idea 2 have working intercoms on flights.Flight attendant literally sounds like adults talking on Charlie Brown;We want to make sure communication is crystal clear. Please DM your record locator so we can share your feedback.
57;57;5.0;0.0664;aa, give, pilot, plan, option, food, answer, schedule, offer, small;I dont like the the new livery;Were sorry you feel that way. We appreciate your feedback.
58;58;6.0;0.0982;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;.. landed in Charlotte at 7:11 PM. It’s now 7:52 without any luggage.. or staff in baggage claim.. or belt movement. Hello? https://t.co/PFxh5m9JIl;Were sorry for the wait tonight. Well have you bags out to you as soon as possible. https://t.co/vpkBeWiqTq
59;59;17.0;0.0599;time, bad, service, experience, response, home, understand, month, guy, reason;Home, please;Were are almost there just one last leg of your trip and youll be #homesweethome.
60;60;16.0;0.0737;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Fantastic job by the staff at to get us on our way to the Championships! Thank you! https://t.co/JqpQe0f9gs;Thanks for the shout-out to PVD! Wed love to forward this on to our #AATeam. Please follow and DM your record locator.
61;61;4.0;0.0876;delay, hour, miss, late, connection, suck, flight, policy, refund, water;"Taking off from CLT to DEN almost 2 hours late had to board a new plane bc the other plane broke. Im sick &amp; need to get home 😥";Our apologies for the delay, Heather. You should be in the air shortly.
62;62;6.0;0.0689;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Flying tomorrow to Vegas for big 3.0!!!! Cant wait!;Were excited to have you on board! Thanks for letting us take you on this #AAdventure.
63;63;9.0;0.0798;flight, back, problem, happy, hold, long, service, terminal, money, row;Any tips on how to relax on a long haul flight? #nervousflyer;Wear comfy clothes, stretch prior to boarding and throughout the flight. Also, make sure you drink plenty of water.
64;64;11.0;0.0686;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Cheers!!! See yous in 12 hrs!!;We cant wait!
65;65;10.0;0.0648;bag, check, free, carry, luggage, put, bring, cabin, force, fit;sucks!!!!!! So rude! Left my bag somewhere and they wouldn’t help at all! 🤦🏻‍♀️😠👎🏼 kept telling me they didn’t know why!;Wed like more info to see if we can help. Please DM your bag file number.
66;66;5.0;0.0789;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Hey I got food poisoning from your inflight meal on Sunday. Just a heads up in case you want to look in to that. https://t.co/KgiWcryFNY;"Oh my, please DM your record locator and include your email &amp; mailing address. Lastly, provide as many details as possible."
67;67;12.0;0.0645;make, change, customer, hope, thing, fee, dm, line, cool, night;screwed up. Now me and 12 other recruits are staying the night in Dallas ! Kinda excited;Were sorry for the situation, but were happy youre making the best of it, John. Please let us know if we can help.
68;68;0.0;0.075;call, year, guy, nice, update, amp, ve, week, receive, status;nice work letting your staff dress up for holoween!!! Love it! #ORD;Were glad youre enjoying some of our #AATeams great costumes. Their treat is getting to serve our best customers.
69;69;2.0;0.1361;seat, pay, move, extra, purchase, information, room, group, screw, hotel;you should really mention that some exit row seats are smaller width! Paid xtra for the most uncomfortable seat Ive ever had!;Width can vary just slightly throughout the cabin. Main Cabin Extra seats always have 4-6 inches of extra legroom.
70;70;6.0;0.0895;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Never flying again. They flight attendants were rude, and the extortion for carry-on baggage is ridiculous! So disappointed.;Were sorry for any rudeness. If you have a Basic Economy ticket, then only a personal item would be allowed on board.
71;71;9.0;0.0778;flight, back, problem, happy, hold, long, service, terminal, money, row;Continuamos aguardando de una explicación por la agresión verbal q sufrió mi esposa por parte de una azafata de esta cia;A specialist is still carefully reviewing this. Someone will be in direct contact soon.
72;72;0.0;0.0828;call, year, guy, nice, update, amp, ve, week, receive, status;Hi! Can you please give me a phone number to call to check flight status? Thank you!;Hi there! Our Reservations team can check on flights for you at 800-433-7300.
73;73;3.0;0.0692;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;American Airlines extends that courtesy for EVERY flight from EVERY airport. Guess they spoiled me. Thank you for ur patriotism;No problem at all. It’s a huge honor for us to support our troops.
74;74;15.0;0.0795;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;12 year as EP with AA. Since they won’t address my concerns who’s interested in my loyalty? https://t.co/rix2Aoi20X;Please send the requested info via DM. We need your contact info (phone and email).
75;75;6.0;0.1019;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;According to reservations when I spoke with them they said it was nothing that they could do smh;If we can take a look, then please DM your record locator and details.
76;76;17.0;0.0661;time, bad, service, experience, response, home, understand, month, guy, reason;Can’t believe used to be my favorite airline, it only takes one time to leave a bad taste in my mouth smh;Were sorry that this has been your experience, is there some way we can help?
77;77;2.0;0.0843;seat, pay, move, extra, purchase, information, room, group, screw, hotel;better give me a window seat tomorrow seen as it won’t let me check in online and I have a 7 hr flight and straight to work 😴;Please DM your record locator. Well take a closer look for you.
78;78;14.0;0.0929;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;One of several questioning loyalty to after poor treatment by gate agent tonight. Flight 41 ORD to SFO.;Wed like to forward this along, Mindy. Please DM your record locator.
79;79;11.0;0.0625;flight, great, staff, terrible, destination, entire, completely, locator, question, list;"EP on who continues to not be able to do work. ""Great is what you want to be?"" Sorry, missed by a long shot.";Well make sure to let our team know about this. Our friends can also take a look.
80;80;1.0;0.0764;cancel, airline, trip, expect, return, buy, chance, full, price, include;I include them on my tweets. They dont respond. You need to dump They are reflecting badly on ;Were very sorry. Weve forwarded it to our team that handles Wi-Fi.
81;81;9.0;0.1013;flight, back, problem, happy, hold, long, service, terminal, money, row;Long-standing problem that AA Mgmt. seems unwilling to address. Screw your EP #RoadWarriors becoz we have no options. Just wait.;The experience of our most loyal customers is paramount. Were installing a new type of much faster Wi-Fi on much of our fleet.
82;82;17.0;0.0765;time, bad, service, experience, response, home, understand, month, guy, reason;Really bad service Ron;Were sorry if you had a bad experience with our team, Kay. Please let us know if we ca help in some way,
83;83;7.0;0.1004;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Comment doesn’t address problematic comment made by flight attendant.;Please DM your record locator. Wed like to share this feedback with the Flight Service leadership team.
84;84;7.0;0.0758;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Problem is when you check the website compulsively and it’s not updated!;We understand thats important to update info quickly and we appreciate your feedback on this.
85;85;5.0;0.0782;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Flght attndnt gives me, US born citizen, English lesson. AA said will record my complaint in system. Do better - train your staff! #stockreplies #microaggression;Gate information is shared on the website. Just input your flight number here: https://t.co/hSJ3SkyGEd.
86;86;8.0;0.1025;https, today, fly, home, guess, aa, awesome, treat, part, joke;is the biggest fucking joke. How are they still in business. do us all a favor and teach them how to treat customers;Our offer to help via DM still stands. Please have her reach us there.
87;87;1.0;0.0645;cancel, airline, trip, expect, return, buy, chance, full, price, include;amazing picture of our countries flagship carriers jets!!! https://t.co/tHTaqRJEbJ;It is indeed and were so proud! By the way, our team in ORD loves you too, Matt. #AAfamily
88;88;0.0;0.0818;call, year, guy, nice, update, amp, ve, week, receive, status;Hmmm B747 spotted during World Series ad. #tbt #wow;Shes a beauty! Thats a major throwback.
89;89;6.0;0.0932;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;acá un te serbice sucia. Same price but one baggage less. Bogotá airport staff are rude and make a real mess;Please let us know if we can help in some way.
90;90;11.0;0.0636;flight, great, staff, terrible, destination, entire, completely, locator, question, list;On my way to #NAPABA17 and received great service from Cynthia and Diane on #AA1816 - thank you! #executiveplatinum https://t.co/MPcFTiM7bd;Thanks for your kind words for Cynthia and Diane! Well be sure to forward these along to their #AATeam.
91;91;8.0;0.0673;https, today, fly, home, guess, aa, awesome, treat, part, joke;HAPPY HALLOWEEN!!!!! https://t.co/kHH0Je6frQ;What great costumes! Thanks for this fantastic pic.
92;92;11.0;0.0923;flight, great, staff, terrible, destination, entire, completely, locator, question, list;My husband with our 1yr baby was refused a blanket cuz it was for first class only on a red eye flight #willneverhavemymoney;On domestic flights blankets are only offered in First Class. We love traveling families and are sorry for any rudeness.
93;93;7.0;0.0652;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Brilliant photo.;Thanks, Daniel. Weve got a great #WorldSeries going on!
94;94;16.0;0.1065;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Really I cant even send or receive email via WiFi services??? This is insane. I demand my $$$ back for past 3 months;Refunds would have to be handled by the team. Were again very sorry for this experience.
95;95;7.0;0.066;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Could I just dm you my ticket? Lol.;You can DM your ticket number, record locator or full name and origin city.
96;96;2.0;0.0639;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Hi there! Since I have your attention, could you tell corporate for me that Pilar and Jaimie atAdmirals Club T2 SFO are AMAZING. Thanks!;Were more than happy to do that, Myra. Please DM your record locator and well share your awesome kudos. #AATeam
97;97;4.0;0.0673;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Hey hey hey! ⚾️ #WorldSeries https://t.co/LeV38WtFPZ;Thats probably the best way to watch the #WorldSeries in our Club. #Cheers
98;98;3.0;0.0648;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Thanks for putting us all on 2 broken planes. #stranded;Were very sorry for this experience. If we can help with an update, then please share your flight number.
99;99;14.0;0.0789;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;flight people at the gate or not communicating to the gate area passengers;It looks like theres a maintenance delay and weve an estimated departure time of 10:40p. Well get you in the air soon, Bennett.
100;100;11.0;0.0954;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Great thank you. I had a GREAT flight.;We love hearing this and look forward to welcoming you on board again soon.
101;101;0.0;0.0887;call, year, guy, nice, update, amp, ve, week, receive, status;"My flight to MIA next week is on the 1st day is offering a new pre-order fruit &amp; cheese plate option in F… will try it &amp; see 🤔";Let us know what you think! Were excited to have you on board.
102;102;13.0;0.0686;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;I hate ;Is there some way we can help?
103;103;19.0;0.0982;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Yes. Refund my plane ticket😡 with your racist ass workers;We dont tolerate discrimination of any kind. Please DM your record locator and contact details (phone and email).
104;104;12.0;0.0778;make, change, customer, hope, thing, fee, dm, line, cool, night;And I won’t be flying with your air lines AGAIN -a angry customer😡;Well respond shortly via DM.
105;105;1.0;0.0782;cancel, airline, trip, expect, return, buy, chance, full, price, include;You increased the price of two near-empty flights while I was paying. Seriously? Is this even legal? Platinum status means nada https://t.co/gkbOFbmNaI;Prices can change very quickly. Theyre based on availability.
106;106;10.0;0.0945;bag, check, free, carry, luggage, put, bring, cabin, force, fit;my dad bought me a ticket and i have no idea if i can bring a carry-on with my personal item... can you help?!;Absolutely, please DM your 6 letter record locator and well let you know.
107;107;19.0;0.0673;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;if I booked through Qantas for a trip to SYD but first leg to SFO is American Air, which confirmation# do I use to check in?;Youll use our 6 letter record locator since the first leg of your trip is with us.
108;108;8.0;0.0669;https, today, fly, home, guess, aa, awesome, treat, part, joke;Do I need to check in for my Qantas leg separately?;You shouldnt need to. Let our airport team know if you need assistance on the day of departure.
109;109;18.0;0.088;issue, holiday, family, happen, fix, due, card, end, contact, first_class;awful service, more than 1 hour delay due to logbook maintenance issues. Where is preventive maintenance?;We do many checks pre and post departure. Please share your flight number if we can provide an update.
110;110;14.0;0.0757;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Wish I could sleep but I’m having to wait for to delivery my delayed baggage. I paid $25 to have them leave my luggage behind.😡;Our apologies for the delay. We know that waiting is no fun and we appreciate your patience.
111;111;4.0;0.0669;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Hey I know how you can make that 24 hr delay up to me... #game7 tix??? ;Were sorry for your delay. We can take a closer look at the situation, please DM your record locator.
112;112;2.0;0.1103;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Ive been waiting for three days now regarding a reimbursement because of your poor treatment towards me, a paying customer, after you cancelled my flight and I had to pay for a hotel room in a city that had nothing to do with my final destination;We can take a closer look. Please DM your record locator and details.
113;113;8.0;0.0833;https, today, fly, home, guess, aa, awesome, treat, part, joke;You want something #spooky today? Fly because its a #nightmare;Were sorry thats been your experience. Please let us know if we can help in some way.
114;114;10.0;0.0852;bag, check, free, carry, luggage, put, bring, cabin, force, fit;thanks for making those of us that gate checked our bags getting off a plane at 1am stand around baggage in #atl;Sorry for the wait Carlye. Were working hard on getting your bag out to you.
115;115;4.0;0.066;delay, hour, miss, late, connection, suck, flight, policy, refund, water;what’s up with her bags taking over two hours to claim ?;Please have the customer reach out to us directly.
116;116;17.0;0.0621;time, bad, service, experience, response, home, understand, month, guy, reason;Flight 254 from Maui to LAX. First class (seating and service).;Do you have a description of the crewmember?
117;117;4.0;0.0744;delay, hour, miss, late, connection, suck, flight, policy, refund, water;She worked first class. Blonde hair, shoulder length. Prob late 40s.;Thanks for the info David. Well pass this on to our team so she gets the recognition she deserves.
118;118;14.0;0.068;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;Flight attendant on helped walk an elderly lady 2 the lavatory. I wish I would’ve asked the FA’s name. She deserves kudos.;Weve got the best in the business and our #AATeam loves taking care of everyone! Thanks for letting us know how great she is.
119;119;8.0;0.1101;https, today, fly, home, guess, aa, awesome, treat, part, joke;Flying high in the sky #earlymorningflight https://t.co/xvaKU5FRYn;Were thrilled to start off November with you Noemi! #enjoy
120;120;2.0;0.0776;seat, pay, move, extra, purchase, information, room, group, screw, hotel;I love it when theres room in the overhead bin for my carry on but makes me check it so I can waste another hour when I land.;Sorry for the inconvenience, Samiey. Whats your flight number? Wed like to pass along your feedback.
121;121;0.0;0.05;call, year, guy, nice, update, amp, ve, week, receive, status;219;Thanks for the info. Well let the right people know.
122;122;15.0;0.0806;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;" U kept us sittin on the tarmac till we missed our Conn. U booked us a flight tmrw but refused a hotel &amp; food comp! #RefundMe";Were sorry for the frustration this caused. Were glad to hear youve been rebooked.
123;123;11.0;0.088;flight, great, staff, terrible, destination, entire, completely, locator, question, list;I actually did book Main Cabin Extra. Great flight, great service, love those cookies! 😁;Arent they the best?! Glad you had such a great flight, April. Come see us again soon!
124;124;2.0;0.1102;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Look at all the leg room the folks have in the safety video! Whats up ? I want on that flight! 😂 https://t.co/KWvLkp1vNl;We know youre ready to stretch out. We offer Main Cabin Extra, with more leg room: https://t.co/N9kHMrvr7b
